Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET NgApplicationsRestController.getApplication,,,,,,,,
GET NgApplicationsRestController.archiveApplication,,YES,,,,,,YES
GET NgApplicationsRestController.restoreApplication,,YES,,,,,,YES
GET NgApplicationsRestController.resetApplication,YES,,,,,,,YES
GET NgApplicationsRestController.deleteApplication,YES,,,,,,,YES
GET NgApplicationsRestController.deleteMultipleApplications,YES,,,,,,,YES
GET NgApplicationsRestController.applicationRoles,,,,,,,,
PUT NgApplicationsRestController.updateDisplayName,,YES,,,,,,YES
POST NgApplicationsRestController.isDisplayNameUnique,,YES,,,,,,YES
GET NgApplicationsRestController.getLicense,,,,,,,,
GET NgApplicationsRestController.updateAppImportance,,YES,,,,,,YES
GET NgApplicationsRestController.countAllowedApps,,,,,,,,
GET NgAuthenticationModeRestController.getAuthenticationMode,,,,,,,,
GET NgAuthenticationModeRestController.getAuthenticationMode,,,,,,,,
GET NgAgileCentralBugtrackerRestController.getBugtracker,YES,,,,,,,YES
GET NgAgileCentralBugtrackerRestController.addBugtracker,YES,,,,,,,YES
GET NgAgileCentralBugtrackerRestController.editBugtracker,YES,,,,,,,YES
GET NgAgileCentralBugtrackerRestController.testBugtracker,YES,,,,,,,YES
GET NgAgileCentralBugtrackerRestController.testExistingBugtracker,YES,,,,,,,YES
GET NgAgileCentralBugtrackerRestController.getAgileCentralBugtrackerForVulnerability,,YES,,,,,,YES
GET NgAgileCentralBugtrackerRestController.getAgileCentralBugtrackerForLibrary,,YES,,,,,,YES
GET NgAgileCentralBugtrackerRestController.getPriorityByInstances,,YES,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralProjects,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralProjects,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralEditors,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralEditors,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralUser,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralUser,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralDefectDefinition,YES,,,,,,,YES
POST NgAgileCentralDataLoaderRestController.getAgileCentralDefectDefinition,YES,,,,,,,YES
